VegID,CommonName,GenusGroup,Family,GrowthForm,Type,EF1,EF2,EF3,EF4,EF5,EF6,EF7,EF8,EF9,EF10,EF11,EF12,EF13,EF14,EF15,EF16,EF17,EF18,EF19,LDF3,LDF4,LDF5,LDF6,References,Comment
Alnus,alder,Alnus,Betulaceae,Btr,genus,0.003,0,0.02,0.1,0.015,0.01,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Alnus glutinosa,European alder,Alnus,Betulaceae,Btr,species,0.003,0,0.02,0.1,0.015,0.01,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Alnus incana ssp. rugosa,speckled alder,Alnus,Betulaceae,Btr,species,0.003,0,0.02,0.1,0.015,0.01,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Alnus rhombifolia,white alder,Alnus,Betulaceae,Btr,species,0.003,0,0.02,0.1,0.015,0.01,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Alnus rubra,red alder,Alnus,Betulaceae,Btr,species,0.003,0,0.02,0.1,0.015,0.01,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Alnus rugosa,,Alnus,Betulaceae,Unknown,species,0.003,0,0.02,0.1,0.015,0.01,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Alnus sinuata,,Alnus,Betulaceae,Btr,species,0.003,0,0.02,0.1,0.015,0.01,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Alnus tenuifolia,,Alnus,Betulaceae,Unknown,species,0.003,0,0.02,0.1,0.015,0.01,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Alnus viridis ssp. sinuata,Sitka alder,Alnus,Betulaceae,Btr,species,0.003,0,0.02,0.1,0.015,0.01,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Arbutus,madrone,Arbutus,Ericaceae,Btr,genus,0.003,0,0.07,0.07,0.02,0.04,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
Arbutus menziesii,Pacific madrone,Arbutus,Ericaceae,Btr,species,0.003,0,0.07,0.07,0.02,0.04,0.03,0.05,0.06,0.04,1.6,0.4,0.7,0.4,1.2,0.1,0.2,0.04,1,0.5,0.8,0.3,0.4,,
